AreaID,Priority,ResourceRequirement
1,21,1
2,76,5
3,31,4
4,78,2
5,56,3
6,79,5
7,69,4
8,2,5
9,67,2
10,88,4
11,58,2
12,32,3
13,64,4
14,93,2
15,77,1
16,29,2
17,2,4
18,26,4
19,39,1
20,89,2
21,8,4
22,11,5
23,21,2
24,64,2
25,26,3
26,44,4
27,28,1
28,7,3
29,97,5
30,88,5
31,50,4
32,7,2
33,86,2
34,46,5
35,64,1
36,5,3
37,64,5
38,1,2
39,41,3
40,56,4
41,39,5
42,51,3
43,88,4
44,63,3
45,26,1
46,89,5
47,93,5
48,85,2
49,65,5
50,0,3
51,34,5
52,86,2
53,59,5
54,16,5
55,17,4
56,44,3
57,85,4
58,90,5
59,100,4
60,6,5
61,45,3
62,80,2
63,100,2
64,7,5
65,10,4
66,11,3
67,22,1
68,62,5
69,100,1
70,23,4
71,28,3
72,52,1
73,86,2
74,26,4
75,8,2
76,52,4
77,24,1
78,31,5
79,9,1
80,76,1
81,85,1
82,50,3
83,70,5
84,69,4
85,42,3
86,49,2
87,19,5
88,50,4
89,96,2
90,48,1
91,48,4
92,6,2
93,46,4
94,4,2
95,4,5
96,0,3
97,67,5
98,57,3
99,4,3
100,53,4
101,45,2
102,8,5
103,2,2
104,56,1
105,57,4
106,42,5
107,25,1
108,54,1
109,34,4
110,97,3
111,59,5
112,2,2
113,30,4
114,99,1
115,50,3
116,49,2
117,54,4
118,14,2
119,82,1
120,87,4
121,30,5
122,10,2
123,100,4
124,17,5
125,88,2
126,77,1
127,39,5
128,61,4
129,82,4
130,68,3
131,93,2
132,92,1
133,73,1
134,17,1
135,3,1
136,17,5
137,61,5
138,72,4
139,57,4
140,23,5
141,61,2
142,84,2
143,62,2
144,98,1
145,75,5
146,74,1
147,33,2
148,81,4
149,54,2
150,39,4
151,59,1
152,61,2
153,94,5
154,95,1
155,69,4
156,85,5
157,11,1
158,5,5
159,15,1
160,26,4
161,25,3
162,92,3
163,4,4
164,46,5
165,30,1
166,10,2
167,56,1
168,81,1
169,53,3
170,12,2
171,47,1
172,64,1
173,55,2
174,90,2
175,48,5
176,70,2
177,48,2
178,26,4
179,33,1
180,40,4
181,62,3
182,2,5
183,34,2
184,43,1
185,30,2
186,20,2
187,89,4
188,54,2
189,4,3
190,71,1
191,65,2
192,68,3
193,74,2
194,30,4
195,32,2
196,93,4
197,53,3
198,52,1
199,64,4
200,99,2
201,70,4
202,19,4
203,65,1
204,5,5
205,32,5
206,71,3
207,90,2
208,55,3
209,4,2
210,10,4
211,52,1
212,83,2
213,93,4
214,40,2
215,55,4
216,52,5
217,92,3
218,34,3
219,79,4
220,97,1
221,70,2
222,42,2
223,83,3
224,94,3
225,45,4
226,23,4
227,41,5
228,82,1
229,20,4
230,13,4
231,31,2
232,20,1
233,31,1
234,96,4
235,66,4
236,9,5
237,6,1
238,36,3
239,83,1
240,50,2
241,25,5
242,44,4
243,77,1
244,2,4
245,27,1
246,94,2
247,42,1
248,94,1
249,18,2
250,83,3
251,20,5
252,66,2
253,89,5
254,68,4
255,71,1
256,64,1
257,29,5
258,88,3
259,33,3
260,18,3
261,35,4
262,59,2
263,74,3
264,94,3
265,37,4
266,44,2
267,51,4
268,8,4
269,43,1
270,54,2
271,0,4
272,51,3
273,85,5
274,8,5
275,31,1
276,25,1
277,84,2
278,89,4
279,33,4
280,73,1
281,60,5
282,74,3
283,35,5
284,57,2
285,73,5
286,49,4
287,80,4
288,85,4
289,88,4
290,72,5
291,84,5
292,20,1
293,21,4
294,21,1
295,98,5
296,45,5
297,3,2
298,42,5
299,26,1
300,15,1
